id,key,value,type
5018656,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
5018656,maxspeed,sign,source
5018668,hgv,designated,regular
5018668,national_network,terminal_access,hgv
5018668,highway,primary,regular
5018668,lanes,3,regular
5018668,maxspeed,35 mph,regular
5018668,name,West El Camino Real,regular
5018668,old_ref,US 101,regular
5018668,oneway,yes,regular
5018668,ref,CA 82,regular
5018668,sidewalk,right,regular
5018668,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018668,maxspeed,sign,source
5018668,surface,asphalt,regular
5018670,hgv,designated,regular
5018670,national_network,terminal_access,hgv
5018670,highway,primary,regular
5018670,lanes,3,regular
5018670,maxspeed,35 mph,regular
5018670,name,West El Camino Real,regular
5018670,old_ref,US 101,regular
5018670,oneway,yes,regular
5018670,ref,CA 82,regular
5018670,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018670,maxspeed,sign,source
5018671,bridge,yes,regular
5018671,hgv,designated,regular
5018671,national_network,terminal_access,hgv
5018671,highway,primary,regular
5018671,lanes,4,regular
5018671,layer,1,regular
5018671,maxspeed,40 mph,regular
5018671,name,East El Camino Real,regular
5018671,old_ref,US 101,regular
5018671,oneway,yes,regular
5018671,ref,CA 82,regular
5018671,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018671,maxspeed,sign,source
5018671,surface,asphalt,regular
5018671,lanes,none|none|none|right,turn
5018672,bridge,yes,regular
5018672,hgv,designated,regular
5018672,national_network,terminal_access,hgv
5018672,highway,primary,regular
5018672,lanes,4,regular
5018672,layer,1,regular
5018672,maxspeed,40 mph,regular
5018672,name,East El Camino Real,regular
5018672,old_ref,US 101,regular
5018672,oneway,yes,regular
5018672,ref,CA 82,regular
5018672,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018672,maxspeed,sign,source
5018672,surface,asphalt,regular
5018672,lanes,none|none|none|right,turn
5018675,bicycle,no,regular
5018675,hgv,designated,regular
5018675,national_network,terminal_access,hgv
5018675,highway,motorway,regular
5018675,lanes,2,regular
5018675,maxspeed,55 mph,regular
5018675,name,Mountain View - Alviso Road,regular
5018675,oneway,yes,regular
5018675,ref,CA 237,regular
5018675,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018676,bicycle,no,regular
5018676,hgv,designated,regular
5018676,national_network,terminal_access,hgv
5018676,highway,motorway,regular
5018676,lanes,2,regular
5018676,maxspeed,55 mph,regular
5018676,name,Mountain View - Alviso Road,regular
5018676,oneway,yes,regular
5018676,ref,CA 237,regular
5018676,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018676,maxspeed,sign,source
5018677,bicycle,no,regular
5018677,bridge,yes,regular
5018677,hgv,designated,regular
5018677,national_network,terminal_access,hgv
5018677,highway,motorway,regular
5018677,lanes,2,regular
5018677,layer,1,regular
5018677,maxspeed,55 mph,regular
5018677,name,Mountain View - Alviso Road,regular
5018677,oneway,yes,regular
5018677,ref,CA 237,regular
5018677,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018677,maxspeed,sign,source
5018678,bicycle,no,regular
5018678,bridge,yes,regular
5018678,hgv,designated,regular
5018678,national_network,terminal_access,hgv
5018678,highway,motorway,regular
5018678,lanes,2,regular
5018678,layer,1,regular
5018678,maxspeed,50 mph,regular
5018678,name,Mountain View - Alviso Road,regular
5018678,oneway,yes,regular
5018678,ref,CA 237,regular
5018678,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018679,bicycle,no,regular
5018679,bridge,yes,regular
5018679,hgv,designated,regular
5018679,national_network,terminal_access,hgv
5018679,highway,motorway,regular
5018679,lanes,2,regular
5018679,layer,1,regular
5018679,maxspeed,55 mph,regular
5018679,name,Mountain View - Alviso Road,regular
5018679,oneway,yes,regular
5018679,ref,CA 237,regular
5018679,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018680,bicycle,no,regular
5018680,hgv,designated,regular
5018680,national_network,terminal_access,hgv
5018680,highway,motorway,regular
5018680,lanes,2,regular
5018680,maxspeed,55 mph,regular
5018680,name,Mountain View - Alviso Road,regular
5018680,oneway,yes,regular
5018680,ref,CA 237,regular
5018680,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018681,bicycle,no,regular
5018681,hgv,designated,regular
5018681,national_network,terminal_access,hgv
5018681,highway,motorway,regular
5018681,lanes,2,regular
5018681,maxspeed,55 mph,regular
5018681,name,Mountain View - Alviso Road,regular
5018681,oneway,yes,regular
5018681,ref,CA 237,regular
5018681,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018681,maxspeed,sign,source
5018682,bicycle,no,regular
5018682,bridge,yes,regular
5018682,hgv,designated,regular
5018682,national_network,terminal_access,hgv
5018682,highway,motorway,regular
5018682,lanes,2,regular
5018682,layer,1,regular
5018682,maxspeed,55 mph,regular
5018682,name,Mountain View - Alviso Road,regular
5018682,oneway,yes,regular
5018682,ref,CA 237,regular
5018682,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018682,maxspeed,sign,source
5039267,cycleway,lane,regular
5039267,highway,secondary,regular
5039267,lanes,2,regular
5039267,name,California 237,regular
5039267,oneway,yes,regular
