Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
DuWayne Gregory,NY,Representative,6/26/18,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,Guns Sense Candidate?,Yes,No
DuWayne Gregory,NY,Representative,6/26/18,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,WFP Endorsed?,Yes,No
DuWayne Gregory,NY,Representative,6/26/18,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,No,No,No
DuWayne Gregory,NY,Representative,6/26/18,-8.2600002,41.639998999999996,No,Nonwhite,Yes,No,Yes,No,VoteVets Endorsed?,Yes,No
Dylan Ratigan,NY,Representative,6/26/18,-11.43,11.91,No,,No,No,No,No,No,No,No
Ed Albertson,OH,Representative,5/8/18,-13.63,8.0799999,No,,Yes,No,No,No,No,No,No
Ed Albertson,OH,Representative,5/8/18,-13.63,7.860000099999999,No,,Yes,No,No,No,No,No,No
Ed Andres,MO,Representative,8/7/18,-31.610001,27.700001,No,,,,,No,No,No,No
Ed Meier,TX,Representative,3/6/18,-4.98,13.7,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Ed Meier,TX,Representative,3/6/18,-4.98,13.7,No,White,No,No,No,No,No,No,No
Eddie Mauro,IA,Representative,6/5/18,-4.110000100000001,26.35,No,White,No,No,No,Yes,No,No,No
Eddie Porter,OK,Representative,6/26/18,-17.18,10.63,No,,No,No,No,No,No,No,No
Eddie Sundquist,NY,Representative,6/26/18,-13.93,6.420000099999999,No,,No,Yes,No,No,No,No,No
Edward Kimbrough,TX,Senator,3/6/18,-13.23,14.47,No,Nonwhite,No,No,No,No,No,No,No
Edwin Santana,VA,Representative,6/12/18,-14.81,32.900002,No,Nonwhite,Yes,No,No,No,Our Revolution Endorsed?,Yes,Yes
Edwin Santana,VA,Representative,6/12/18,-14.81,32.900002,No,Nonwhite,Yes,No,No,No,No,No,No
Elaine DiMasi,NY,Representative,6/26/18,-11.63,5.920000099999999,No,,No,No,No,No,No,No,No
Elaine Luria,VA,Representative,6/12/18,-5.6599998,62.330002,Yes,White,Yes,No,No,No,No,No,No
Elaine Luria,VA,Representative,6/12/18,-5.6599998,62.330002,Yes,White,Yes,No,No,No,Emily Endorsed?,Yes,No
Elaine Luria,VA,Representative,6/12/18,-5.6599998,62.330002,Yes,White,Yes,No,No,No,VoteVets Endorsed?,Yes,No
Elaine Luria,VA,Representative,6/12/18,-5.6599998,62.330002,Yes,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Elaine Luria,VA,Representative,6/12/18,-5.6599998,62.330002,Yes,White,Yes,No,No,No,Party Support?,Yes,No
Elijah McIntosh,OK,Representative,6/26/18,-49.009997999999996,19.02,No,Nonwhite,Yes,No,No,No,No,No,No
Elissa Slotkin,MI,Representative,8/7/18,-8.3299999,70.900002,Yes,White,No,No,No,No,Emily Endorsed?,Yes,No
Elissa Slotkin,MI,Representative,8/7/18,-8.3299999,70.900002,Yes,White,No,No,No,No,No,No,No
Elissa Slotkin,MI,Representative,8/7/18,-8.3299999,70.900002,Yes,White,No,No,No,No,Biden Endorsed?,Yes,No
Ellen Lipton,MI,Representative,8/7/18,7.139999900000001,42.400002,No,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Ellen Lipton,MI,Representative,8/7/18,7.139999900000001,42.400002,No,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Ellen Lipton,MI,Representative,8/7/18,7.139999900000001,42.400002,No,White,No,No,Yes,No,No,No,No
Elliott McFadden,TX,Representative,3/6/18,-15.51,17.02,No,White,No,No,No,No,No,No,No
Elysabeth Britt,OK,Representative,6/26/18,-17.18,13.51,No,,Yes,Yes,No,No,No,No,No
Emily Martz,NY,Representative,6/26/18,-11.43,10.37,No,,No,No,No,No,No,No,No
Enrique Garcia,TX,Representative,3/6/18,35.419998,5.329999900000001,No,Nonwhite,No,No,No,No,No,No,No
Eric Burnette,OR,Representative,5/15/18,-21.68,4.619999900000001,No,,No,No,No,No,WFP Endorsed?,Yes,No
Eric Burnette,OR,Representative,5/15/18,-21.68,4.619999900000001,No,,No,No,No,No,No,No,No
Eric Burnette,OR,Representative,5/15/18,-21.68,4.619999900000001,No,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Eric Ding,PA,Representative,5/15/18,-10.86,17.99,No,Nonwhite,No,No,No,No,No,No,No
Eric Graben,SC,Representative,6/12/18,-28.309998999999998,25.719998999999998,No,White,No,No,No,No,No,No,No
Eric Holguin,TX,Representative,3/6/18,-25.809998999999998,23.299999,Yes,Nonwhite,No,Yes,No,No,No,No,No
Eric Holguin,TX,Representative,3/6/18,-25.809998999999998,23.299999,Yes,Nonwhite,No,Yes,No,No,Our Revolution Endorsed?,Yes,Yes
Eric Pfalzgraf,TX,Representative,3/6/18,-61.459998999999996,17.09,No,White,No,No,No,No,No,No,No
Eric Stoltz,NV,Representative,6/12/18,-3.0799999,7.2399998,No,,No,No,No,No,No,No,No
Erik Jones,IL,Representative,3/20/18,-6.73,22.4,No,White,No,No,No,No,No,No,No
Erik Lane,MD,Representative,6/26/18,-29.66,2.2,No,White,No,No,No,No,No,No,No
Erika Stotts Pearson,TN,Representative,8/2/18,-37.560001,50.419998,Yes,Nonwhite,No,No,No,No,No,No,No
Erin Collier,NY,Representative,6/26/18,-6.079999900000001,4.8600001,No,,No,No,No,No,Emily Endorsed?,Yes,No
Erin Collier,NY,Representative,6/26/18,-6.079999900000001,4.8600001,No,,No,No,No,No,No,No,No
Erin Collier,NY,Representative,6/26/18,-6.079999900000001,4.8600001,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Eshel Faraggi,IN,Representative,5/8/18,-15.58,7.599999900000001,No,Nonwhite,No,No,No,No,No,No,No
Ethan Pham,GA,Representative,5/22/18,-12.73,17.84,No,Nonwhite,No,No,No,No,No,No,No
Fayrouz Saad,MI,Representative,8/7/18,-7.179999799999999,19.5,No,Nonwhite,No,No,No,No,No,No,No
Fayrouz Saad,MI,Representative,8/7/18,-7.179999799999999,19.5,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Flynn Broady Jr.,GA,Representative,5/22/18,-30.129998999999998,100.0,Yes,Nonwhite,Yes,No,No,No,No,No,No
Francys Johnson,GA,Representative,5/22/18,-17.629998999999998,52.860001000000004,Yes,Nonwhite,No,No,No,No,No,No,No
Frank Accavitti Jr.,MI,Representative,8/7/18,-29.58,32.0,No,White,No,No,Yes,No,No,No,No
Frank McNeill,NC,Representative,5/8/18,-16.360001,56.099998,Yes,White,No,No,No,No,No,No,No
Frank Svoboda,NE,Senator,5/15/18,-26.76,11.37,No,,Yes,No,Yes,No,No,No,No
Frankie Robbins,OK,Representative,6/26/18,-54.009997999999996,64.839996,Yes,,No,No,No,No,No,No,No
Fred Gipson,OK,Representative,6/26/18,-39.130001,30.360001,No,,Yes,No,Yes,No,No,No,No
Fred Hubbell,IA,Governor,6/5/18,-8.1400003,55.41,Yes,White,No,No,No,Yes,No,No,No
Fred Wooden,MI,Representative,8/7/18,-11.41,31.799999,No,White,No,No,No,No,No,No,No
Gareth Rhodes,NY,Representative,6/26/18,-6.079999900000001,17.85,No,,No,No,No,No,No,No,No
Gareth Rhodes,NY,Representative,6/26/18,-6.079999900000001,17.85,No,,No,No,No,No,Indivisible Endorsed?,Yes,No
Gary Davis,TN,Senator,8/2/18,-27.139999,5.2800002,No,,,,,No,No,No,No
Gary Wegman,PA,Representative,5/15/18,-32.029999,31.290001,No,White,No,No,No,No,No,No,No
Gavin Newsom,CA,Governor,6/5/18,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,No
Gavin Newsom,CA,Governor,6/5/18,25.83,53.869999,Yes,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Geoff Young,KY,Representative,5/22/18,-17.41,1.5700001000000001,No,White,No,No,No,No,No,No,No
George English,MD,Representative,6/26/18,11.89,1.1,No,White,No,No,No,No,No,No,No
George Franklin,MI,Representative,8/7/18,-9.180000300000001,28.1,No,White,No,No,No,No,No,No,No
George Franklin,MI,Representative,8/7/18,-9.180000300000001,28.1,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
George Ramsey,IA,Representative,6/5/18,-1.73,6.369999900000001,No,Nonwhite,Yes,No,No,No,No,No,No
George Rodriguez,TX,Representative,3/6/18,-4.98,7.5900002,No,Nonwhite,No,No,No,No,No,No,No
George Scott,PA,Representative,5/15/18,-10.86,36.330002,Yes,White,Yes,No,No,No,No,No,No
George Thomas Holland,IN,Representative,5/8/18,-38.529999,11.1,No,White,Yes,No,No,No,No,No,No
George Weber,IL,Representative,3/20/18,-7.96,5.0,No,White,No,No,No,No,No,No,No
Gerald Wong,NC,Representative,5/8/18,-16.73,22.799999,No,Nonwhite,No,No,No,No,No,No,No
Gil Cisneros,CA,Representative,6/5/18,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,Guns Sense Candidate?,Yes,No
Gil Cisneros,CA,Representative,6/5/18,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,VoteVets Endorsed?,Yes,No
Gil Cisneros,CA,Representative,6/5/18,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No,No
Gil Cisneros,CA,Representative,6/5/18,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,Party Support?,Yes,No
Gina Ortiz Jones,TX,Representative,3/6/18,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,VoteVets Endorsed?,Yes,No
Gina Ortiz Jones,TX,Representative,3/6/18,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,Emily Endorsed?,Yes,No
