Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
Andrew Janz,CA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Katie Hill,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Gil Cisneros,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Katie Porter,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Harley Rouda,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Mike Levin,CA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Joe Neguse,CO,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jason Crow,CO,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jahana Hayes,CT,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Nancy Soderberg,FL,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Stephanie Murphy,FL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Darren Soto,FL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Charlie Crist,FL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Lauren Baer,FL,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Mary Barzee Flores,FL,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Debbie Mucarsel-Powell,FL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Brendan Kelly,IL,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Lauren Underwood,IL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Cheri Bustos,IL,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Sharice Davids,KS,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Amy McGrath,KY,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Cedric Richmond,LA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jared Golden,MN,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Matthew Morgan,MI,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Gretchen Driskell,MI,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Elissa Slotkin,MI,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Haley Stevens,MI,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Dan Feehan,MN,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Dean Phillips,MN,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Joe Radinovich,MN,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Kathleen Williams,MT,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Susie Lee,NV,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Steven Horsford,NV,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Josh Gottheimer,NJ,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Mikie Sherrill,NJ,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Debra Haaland,NM,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Xochitl Torres Small,NM,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Max Rose,NY,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Antonio Delgado,NY,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Linda Coleman,NC,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Kathy Manning,NC,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Aftab Pureval,OH,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Ken Harbaugh,OH,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Scott Wallace,PA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Madeleine Dean,PA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Mary Gay Scanlon,PA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Chrissy Houlahan,PA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Susan Wild,PA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
George Scott,PA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Bibiana Boerio,PA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Ronald DiNicola,PA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Conor Lamb,PA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Joe Cunningham,SC,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Brandon Brown,SC,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Lizzie Pannill Fletcher,TX,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Gina Ortiz Jones,TX,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
M.J. Hegar,TX,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Colin Allred,TX,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Ben McAdams,UT,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Elaine Luria,VA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Abigail Spanberger,VA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Jennifer Wexton,VA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Carolyn Long,WA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Lisa Brown,WA,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Kim Schrier,WA,Representative,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Randy Bryce,WI,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Dan Kohl,WI,Representative,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Ned Lamont,CT,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Andrew Gillum,FL,Governor,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Stacey Abrams,GA,Governor,,,,No,,No,No,No,No,Biden Endorsed?,No,No
J.B. Pritzker,IL,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Fred Hubbell,IA,Governor,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Ben Jealous,MD,Governor,,,,No,,No,No,No,No,Biden Endorsed?,No,No
Gretchen Whitmer,MI,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Steve Sisolak,NV,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Michelle Lujan Grisham,NM,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Kate Brown,OR,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
Gina Raimondo,RI,Governor,,,,Yes,,No,No,No,No,Biden Endorsed?,No,No
James Smith Jr.,SC,Governor,,,,No,,No,No,No,No,Biden Endorsed?,No,No
